Object_Type,Method,ModelFilter,TestFilter,Accuracy,MeanIoU
<<<<<<< HEAD
035_power_drill,SIFT-FLANN,,,0.1,0.175346
035_power_drill,SIFT-FLANN-Bilateral-CLAHE-Unsharp-Bilateral-CLAHE-Unsharp,-Bilateral-CLAHE-Unsharp,-Bilateral-CLAHE-Unsharp,0,0.0825947
=======
035_power_drill,SIFT-FLANN,,,0.1,0.11703
035_power_drill,SIFT-FLANN-Bilateral-CLAHE-Unsharp-Bilateral-CLAHE-Unsharp,-Bilateral-CLAHE-Unsharp,-Bilateral-CLAHE-Unsharp,0,0.0681583
>>>>>>> 43874017156df01854fb85255735403be9412ac0
035_power_drill,ViolaJones,GaussianBlur,GaussianBlur,0.3,0.391784
